# 智析云途 学生成绩数据
# 格式: 学号|姓名|性别|语文|数学|英语|物理|化学|生物
# 共 100 条记录
# 学号标准: 8位 GGCCNNNN (2位年级+2位班级+4位顺序号)
# 年级: 01=高一, 02=高二, 03=高三

01010001|钱俊|男|79|80|73|57|72|73
01010002|沈超|男|84|76|64|60|78|93
01010003|鲁涛|男|70|81|87|71|80|78
01010004|罗杰|女|92|75|67|83|80|95
01010005|马勇|女|87|85|88|94|93|90
01010006|孔俊|男|79|67|62|91|68|54
01010007|窦涛|男|75|90|71|100|71|65
01010008|冯华|女|88|90|85|93|92|100
01010009|赵波|女|73|98|81|89|88|98
01020001|谢浩|女|78|92|70|100|94|95
01020002|王磊|男|78|60|87|80|92|74
01020003|葛军|男|64|72|70|69|60|81
01020004|何峰|女|84|87|77|77|82|87
01020005|韩峰|女|74|84|87|87|87|89
01020006|董磊|女|88|93|85|86|86|73
01020007|冯燕|男|83|89|46|52|96|64
01020008|范宇|男|68|63|87|65|75|80
01020009|水英|男|75|80|68|67|97|59
01030001|戚波|男|57|76|70|46|65|70
01030002|唐飞|女|89|91|80|91|75|90
01030003|李敏|男|77|68|81|91|80|81
01030004|黄强|女|73|93|85|87|100|87
01030005|鲁波|男|46|55|51|57|30|79
01030006|萧超|女|85|100|86|74|83|80
01030007|尤飞|男|59|66|74|70|60|66
01030008|李红|男|61|69|51|47|73|72
01040001|水颖|男|70|63|45|50|53|72
01040002|黄杰|女|78|95|85|94|88|84
01040003|罗浩|女|91|87|89|94|100|81
01040004|张浩|男|64|38|30|32|54|53
01040005|萧伟|女|91|86|90|90|81|85
01040006|范婷|男|67|66|44|77|78|69
01040007|冯杰|女|94|89|100|100|92|95
01040008|郭明|女|100|100|86|83|95|89
02010001|华杰|男|36|75|58|54|43|69
02010002|施英|男|58|85|93|100|100|46
02010003|严华|男|73|45|39|64|54|45
02010004|奚勇|男|90|78|84|100|59|96
02010005|韩华|男|65|81|96|85|65|88
02010006|李伟|女|92|83|67|76|98|90
02010007|谢涛|女|66|96|100|99|88|90
02010008|李斌|女|96|83|85|75|84|81
02010009|潘婷|男|71|68|88|65|68|64
02020001|郭刚|女|92|99|78|97|92|97
02020002|郭明|女|86|93|90|77|84|95
02020003|戚燕|男|97|69|68|65|64|58
02020004|鲁波|男|76|84|85|76|48|79
02020005|魏洁|男|55|64|64|84|87|92
02020006|韦琳|男|82|54|57|78|81|71
02020007|魏玲|男|46|55|89|62|71|58
02020008|董峰|女|87|78|87|94|79|77
02030001|梁军|女|87|91|86|94|83|97
02030002|陈超|男|80|82|64|81|70|76
02030003|胡浩|女|89|87|95|80|69|90
02030004|韩鹏|女|99|72|76|94|77|84
02030005|姜超|男|61|76|62|53|70|48
02030006|章芬|男|42|64|71|57|63|65
02030007|朱娟|男|62|78|83|67|88|70
02030008|陶华|男|100|86|75|80|78|73
02040001|杨鹏|男|67|67|68|76|89|69
02040002|韩辉|女|93|97|87|84|96|69
02040003|水华|男|47|60|51|98|80|92
02040004|郑宇|男|69|70|99|72|66|87
02040005|张斌|女|87|86|79|92|81|91
02040006|郑刚|女|76|93|94|86|91|78
02040007|高飞|女|92|78|85|93|93|85
02040008|黄超|女|77|82|83|95|83|96
03010001|徐杰|女|97|79|87|89|91|86
03010002|林俊|女|88|75|82|80|88|84
03010003|曹波|男|61|67|60|72|74|62
03010004|周磊|女|87|92|89|91|74|84
03010005|蒋飞|男|71|93|76|56|100|71
03010006|黄辉|女|88|89|81|86|98|86
03010007|云萍|男|64|55|44|56|63|53
03010008|刘强|女|85|89|86|86|94|96
03010009|张军|女|98|97|76|79|89|97
03010010|萧超|女|84|98|78|92|100|95
03010011|鲁飞|男|74|80|76|92|82|86
03020001|吴华|女|89|100|85|79|81|71
03020002|华军|男|56|50|77|70|81|85
03020003|高伟|女|81|89|82|91|79|85
03020004|华静|男|84|76|62|50|72|73
03020005|马华|女|88|83|79|86|83|100
03020006|梁波|女|96|86|82|91|91|90
03020007|郑波|女|83|100|91|78|81|89
03020008|刘鹏|女|97|76|100|88|85|88
03020009|罗波|女|78|78|90|97|95|84
03020010|刘明|女|98|86|88|92|78|84
03020011|韩军|男|94|92|52|75|63|74
03030001|林军|女|83|89|91|98|87|83
03030002|秦洁|男|77|64|97|75|84|59
03030003|于刚|女|79|91|81|99|74|100
03030004|奚波|男|77|99|97|81|67|50
03030005|宋刚|女|85|88|77|87|99|76
03030006|刘斌|女|89|87|97|100|91|87
03030007|徐宇|女|83|77|97|75|92|81
03030008|梁波|女|89|86|98|92|100|74
03030009|华勇|男|73|68|80|85|87|77
03030010|尤芳|男|85|88|52|65|77|79
03030011|罗军|女|77|88|89|99|76|90
